149,4,2,1,2019-06
175,5,2,1,2020-01
177,16,2,1,2020-01
186,19,2,1,2019-08
682,172,2,2,2020-01
194,277,2,1,2019-11
217,309,2,1,2019-07
178,546,2,1,2020-01
250,700,2,1,2019-04
32,1002,4,2,2019-02
181,1269,2,1,2019-10
120,1867,2,1,2019-09
59,1910,4,1,2019-04
217,1928,2,1,2020-03
101,1940,3,1,2019-06
84,1945,3,1,2020-02
132,1989,2,1,2019-03
104,1990,3,2,2019-11
89,1992,3,1,2019-10
199,1993,2,1,2020-02
192,1998,2,1,2020-05
118,2003,2,1,2020-02
23,2009,7,1,2019-11
227,2013,2,1,2020-03
238,2014,2,1,2019-11
59,2015,4,1,2020-01
192,2016,2,2,2019-05
63,2016,3,1,2019-12
137,2016,2,1,2020-04
18,2017,8,2,2019-03
35,2017,7,3,2019-11
388,2018,2,2,2019-04
29,2018,2,2,2019-11
214,2019,2,1,2019-08
125,2019,2,1,2019-09
41,2019,5,2,2020-02
175,2021,2,1,2020-03
81,5000,3,2,2019-05
147,5000,2,1,2019-06
159,10115,2,1,2019-05
261,10119,2,1,2020-02
234,28359,2,1,2020-01
191,90138416,2,1,2019-03
192,10 12 2019,2,1,2020-02
725,1000 grun dach,2,2,2019-08
185,102 europawahl,2,1,2019-05
41,10553 berlin,5,1,2020-03
160,12 50,2,1,2020-04
186,12489 albert einstein strass,2,1,2019-06
199,13159 blankenfeld,2,1,2019-04
251,15 05 2018,2,1,2019-07
110,15 1002,3,2,2019-02
749,1990 einwohn,2,2,2019-11
196,1993 eigenverantwort der bezirk,2,1,2020-02
184,2 bettzimmerkost,2,1,2019-03
97,20 1 2009,3,1,2019-05
124,2012 and and 2017,2,1,2019-05
215,2014 v 20 01 2015,2,1,2019-10
86,2014 v 20 01 2015,3,1,2019-11
60,2014 v 20 01 2015,4,1,2020-03
224,2016 atom,2,1,2019-08
65,2017 verkehr,4,1,2019-11
268,2019 wilhelmstadt,2,1,2020-02
209,2019 wilhelmstadt spandau,2,1,2020-02
517,2071 qm or beusselstrass,2,2,2019-04
130,22 10,3,1,2019-11
226,22 10 2019,2,1,2019-11
283,23 abs 2 satz 1 baunvo,2,1,2019-11
148,24 01 2012,2,2,2019-04
166,24 marz 2020,2,1,2020-04
76,28 04 2020,3,2,2020-04
71,31 12 2016,3,1,2019-10
99,31 12 2017,3,1,2019-09
86,31 12 2018,3,1,2019-05
211,380kv,2,1,2019-03
642,3d,2,2,2019-03
592,3d,2,2,2019-05
107,3d,4,3,2019-07
66,3d,4,3,2019-08
194,3d,3,3,2019-09
475,3d,2,2,2019-10
72,3d,3,3,2020-03
199,3d gebaudemodell,2,1,2019-08
195,3d gebaudemodell,2,1,2019-10
83,abfall,3,1,2019-03
121,abfall,3,2,2019-07
148,abfall,2,2,2019-10
58,abfall,4,3,2019-11
64,abfall,4,1,2020-01
58,abfallabfuhr,4,1,2020-01
462,abfallwag,2,2,2020-01
271,abfallwirtschaft,2,1,2020-02
167,abfluss,4,2,2019-10
457,abfuhr,2,2,2020-01
57,abgeordnetenhaus,3,1,2019-03
207,abgeordnetenhauswahl,2,1,2019-09
394,abriss,2,2,2019-07
107,abruf flurkart,2,1,2019-12
273,abschnitt,2,1,2019-11
221,abschnitt,2,1,2020-01
157,absolvent,2,1,2019-11
127,abwass,3,2,2019-02
216,abwass,4,3,2019-04
122,abwass,3,3,2019-06
476,accelarator,2,2,2020-02
256,accident,2,1,2020-01
89,accommodation,5,2,2019-04
118,adipositas,2,1,2019-12
109,adlershof,5,5,2020-02
21,adress,14,5,2019-02
25,adress,9,3,2019-03
31,adress,11,6,2019-05
124,adress,4,3,2019-06
5,adress,29,8,2019-07
44,adress,6,4,2019-08
30,adress,7,5,2019-09
