41,2019,5,2,2020-02
41,10553 berlin,5,1,2020-03
89,accommodation,5,2,2019-04
109,adlershof,5,5,2020-02
45,alkis berlin,5,1,2020-02
41,alkis gebaud,5,2,2019-04
106,alleinerzieh,5,3,2020-03
63,altlast,5,2,2020-05
181,arbeitslos,5,4,2019-09
41,arbeitslosenquot,5,1,2019-07
31,arbeitslosenstatist,5,2,2019-10
56,atkis,5,4,2019-07
60,baum,5,5,2019-03
71,baumbestand,5,3,2019-11
90,bebauungssplan,5,3,2019-03
121,berlin mau,5,3,2020-02
41,berlin wasserbetrieb,5,1,2019-11
53,berlinpass,5,3,2019-03
33,beschaftigt,5,1,2019-10
44,beschaftigt,5,2,2020-04
130,bezirksgrenz,5,5,2019-12
94,bik,5,4,2019-05
65,biotop,5,2,2019-07
53,block,5,2,2020-04
61,bod,5,2,2019-08
30,bod,5,3,2019-12
111,bodengesellschaft,5,2,2019-11
129,boschung,5,4,2019-09
47,breitband,5,3,2020-02
46,breitband,5,3,2020-05
92,bsr,5,3,2019-04
55,bsr,5,3,2019-06
37,crim,5,3,2020-04
44,csv,5,1,2019-05
54,denkmal,5,3,2019-03
88,dgm,5,3,2019-08
45,dgm,5,5,2019-09
36,dgm,5,4,2019-12
42,digital orthophotos,5,1,2019-08
88,dop,5,3,2019-09
35,dop,5,2,2020-01
47,dop or atom,5,1,2019-08
112,dynam index 2019,5,2,2019-11
205,e mobillity,5,4,2019-06
630,echt zeit luftqualitat,5,5,2019-05
29,echtzeit,5,3,2019-10
103,einwohn 2015,5,2,2019-11
42,einwohn nach wohndau,5,2,2020-02
40,einwohnerdicht,5,1,2019-07
198,einwohnerzahl,5,4,2019-05
80,einwohnerzahl,5,3,2019-07
34,einwohnerzahl von gesamtberlin,5,1,2020-01
90,energieatlas,5,3,2019-06
79,erstnam,5,5,2019-05
63,europawahl,5,5,2020-01
49,fahrrad,5,5,2019-02
40,feinstaub,5,2,2019-04
53,feuerwehr,5,2,2019-12
39,flach,5,2,2019-04
43,flughaf,5,2,2019-04
111,flur plan,5,2,2020-03
34,flurkart,5,2,2019-12
219,flurstuck,5,4,2020-01
136,flustucksbemass,5,3,2019-09
45,gebaud,5,2,2019-03
56,gebaud,5,4,2019-06
44,gebaud,5,2,2020-02
42,gehweg,5,2,2020-04
40,geltungsbereich,5,1,2019-11
98,gemark,5,5,2019-09
53,geodat,5,2,2019-08
34,geodat,5,3,2020-04
32,geodat grundwass,5,1,2020-03
38,geothermi,5,1,2019-07
33,gesund,5,1,2020-01
52,gewerb,5,2,2019-11
35,gis,5,4,2019-07
33,gml,5,1,2019-12
25,grundkart,5,1,2019-02
105,grundschul,5,3,2020-05
66,grundwass,5,2,2020-03
66,grunflach,5,3,2019-04
71,grunflach,5,4,2019-06
59,grunflach,5,3,2019-11
100,haf,5,2,2020-02
100,haltestell,5,4,2019-10
113,hamburg bahnhof orthofoto,5,2,2020-04
201,hartz 4,5,3,2019-08
81,haufig vornam 2018,5,2,2019-04
72,hoh,5,4,2019-08
124,hoh beschrank,5,3,2019-11
210,hydrant,5,3,2019-09
37,hydrant,5,3,2020-01
118,immobili,5,4,2019-04
45,immobili,5,3,2020-04
45,inspir,5,2,2019-04
161,josef orlopp strass,5,3,2020-01
41,kart,5,3,2020-05
28,katast,5,2,2019-02
58,katast,5,2,2019-09
56,kita,5,4,2019-03
94,kita,5,5,2019-11
39,kita,5,4,2020-04
37,kml,5,2,2019-09
41,krankenhaus,5,2,2019-08
80,krankenhaus,5,5,2020-03
67,kriminal,5,4,2019-04
83,kriminalitat,5,3,2020-02
92,ladesaul,5,3,2020-03
78,larm,5,5,2020-05
36,lastgang,5,1,2020-01
121,lastprofil,5,4,2019-02
56,lehr,5,3,2019-02
170,list der haufig vornam,5,5,2019-02
42,locker bei kneip,5,2,2020-05
34,lor ausland,5,1,2019-03
55,lor kart,5,2,2019-05
90,lor planungsraum,5,2,2019-09
68,luftbild,5,2,2019-08
40,marathon,5,1,2019-05
48,marzahn hellersdorf,5,3,2019-11
84,miet,5,5,2019-02
57,miet,5,5,2020-04
34,mietendeckel,5,2,2019-07
56,mietendeckel,5,3,2019-11
129,mietpreis,5,4,2020-04
58,migration,5,4,2019-08
105,mindestlohn,5,3,2020-04
40,moabit,5,4,2019-02
29,moabit west,5,1,2019-06
63,nam,5,3,2019-06
39,neukolln,5,3,2019-08
76,neukolln,5,2,2019-11
75,oberflachenmodell,5,4,2019-09
36,opnv,5,3,2019-06
75,opnv,5,2,2020-02
45,ostbahnhof wunsdorf waldstadt,5,1,2019-11
37,pankow,5,2,2019-10
30,parchwitz str,5,1,2020-03
58,park,5,4,2019-03
154,park,5,5,2019-04
62,park,5,4,2019-07
168,park,5,4,2020-04
38,parking,5,3,2019-05
74,parkraumbewirtschaft,5,3,2019-10
82,personalmanagementbericht,5,2,2019-10
43,pfleg,5,2,2019-12
91,plz,5,2,2019-03
95,plz,5,2,2020-02
43,polizei,5,3,2020-02
231,postleitzahl,5,5,2020-05
131,radfahr,5,4,2019-07
115,radfahr,5,4,2019-09
167,radfahr,5,3,2019-12
145,radweg,5,5,2019-05
65,radweg,5,4,2020-01
39,rbs,5,5,2019-10
30,rbs,5,4,2020-01
39,rbs,5,3,2020-02
42,religion,5,2,2019-09
49,s bahn,5,3,2019-04
96,s bahn,5,4,2020-01
93,schul,5,4,2019-04
173,senatsbeschluss,5,4,2019-10
40,senatsbeschluss,5,5,2019-12
109,senatsverwalt fur wirtschaft energi und betrieb umsatzsteu umsatzsteu,5,3,2019-04
