493;236;Wohnen und Immobilien
3801;1813;Geographie und Stadtplanung
204;77;Ver- und Entsorgung
107;58;Sport und Erholung
915;542;Verkehr
187;113;Bildung
1194;620;Demographie
1539;605;Sonstiges
54;30;Kunst und Kultur
40;21;Verbraucherschutz
70;47;Jugend
203;59;Öffentliche Verwaltung, Haushalt und Steuern
116;66;Wahlen
41;24;Tourismus
282;180;Gesundheit
373;127;Umwelt und Klima
86;41;Arbeitsmarkt
74;61;Protokolle und Beschlüsse
43;21;Wirtschaft
5;2;Sozialleistungen
